#{"t_start": 1614890034.0310314, "env_id": null}
r,l,t
-2.363225,5,36960.181264
-2.366347,5,36989.680362
-2.372803,5,37018.781209
-2.853515,6,37052.286025
-2.366926,5,37080.101489
-2.373711,5,37109.019417
-2.374368,5,37137.543949
-2.3654,5,37166.961328
-2.370213,5,37195.462223
-2.359477,5,37224.495871
-2.368038,5,37251.651253
-2.364,5,37280.681071
-2.361121,5,37307.717097
-2.36947,5,37336.311871
-2.375026,5,37365.429861
-2.375026,5,37393.512791
-2.372803,5,37425.480845
-2.02531,5,37452.976332
-1.822752,5,37481.715559
-1.828307,5,37512.729737
-1.798125,5,37541.279478
-1.818072,5,37575.557969
-1.809637,5,37605.728238
-2.126022,6,37639.61438
-1.807618,5,37666.901528
-1.811937,5,37694.825828
-1.817775,5,37723.733819
-1.820043,5,37752.018185
-2.707413,7,37792.561877
-1.817164,5,37820.210473
-1.811937,5,37848.395044
-1.813173,5,37875.261691
-2.063949,6,37909.333026
-1.817203,5,37940.1347
-1.865178,5,37967.721816
-1.72791,5,37996.314777
-1.817407,5,38026.651298
-1.809018,5,38055.518063
-1.812187,5,38083.238289
-1.817407,5,38112.752034
-2.364336,5,38142.041375
-2.361535,5,38174.235142
-2.364336,5,38202.154192
-2.358818,5,38228.741336
-2.361535,5,38260.021894
-2.36947,5,38288.482681
-1.81391,5,38317.075733
-2.160122,5,38346.753879
-1.762179,5,38374.842126
-1.824692,5,38402.52264
-1.821029,5,38429.623979
-1.824442,5,38459.121801
-1.820983,5,38487.599219
-1.81506,5,38517.388314
-1.826085,5,38545.40388
-1.817196,5,38574.412589
-1.826007,5,38602.061508
-1.828307,5,38633.635912
-1.828307,5,38661.547391
-1.816421,5,38690.315827
-1.815717,5,38719.553964
-2.042667,5,38749.374137
-1.821108,5,38783.442329
-1.822752,5,38812.239986
-1.824771,5,38839.943692
-1.818682,5,38870.203693
-2.28585,6,38904.484696
-2.249626,6,38938.052621
-1.816296,5,38965.23874
-1.813791,5,38992.180478
-1.821851,5,39020.282436
-1.862665,5,39051.213585
-2.370213,5,39082.027873
-2.367459,5,39109.558903
-2.365361,5,39137.866517
-2.367334,5,39166.310606
-2.370096,5,39194.7838
-2.373711,5,39223.731189
-2.358656,5,39252.412043
-2.363014,5,39279.379238
-2.360464,5,39308.342901
-2.366597,5,39340.90807
-2.247538,5,39373.622809
-1.826828,5,39404.629495
-1.826007,5,39432.595026
-1.821897,5,39459.76188
-1.812015,5,39488.877413
-1.823126,5,39517.741708
-1.828569,5,39546.36833
-1.828307,5,39576.471541
-1.828307,5,39605.460848
-1.823705,5,39633.720705
-1.814941,5,39661.365955
-1.816953,5,39689.317042
-1.828307,5,39718.829305
-1.81391,5,39749.466433
-1.824974,5,39778.559758
-1.817243,5,39808.419019
-1.820654,5,39837.313613
-2.161324,5,39864.250837
-2.367827,5,39893.971138
-2.362357,5,39922.905593
-1.810951,5,39956.554427
-1.813048,5,39987.735803
-1.817407,5,40016.204899
-1.819629,5,40044.651189
-1.669854,5,40073.33008
-1.822877,5,40100.607973
-1.822752,5,40129.283615
-1.815639,5,40156.826242
-1.816625,5,40186.931127
-1.822752,5,40216.014475
-2.163546,5,40246.561291
-2.368859,5,40276.134277
-2.367004,5,40303.573659
-2.375026,5,40332.015687
-2.264021,5,40359.919511
-1.816296,5,40387.713134
-1.826335,5,40414.729792
-2.116966,5,40445.809489
-1.813173,5,40473.171046
-2.760425,7,40514.994925
-1.819629,5,40542.222309
-1.817986,5,40574.949202
-1.816343,5,40608.277102
-1.815928,5,40636.474816
-2.702743,8,40682.397462
-1.816671,5,40710.969067
-1.818315,5,40740.065525
-1.814074,5,40767.816241
-1.816013,5,40795.222078
-2.00857,5,40823.595263
-2.370667,5,40853.18626
-2.375026,5,40881.982507
-2.364454,5,40910.89528
-2.358983,5,40938.952965
-2.364743,5,40965.844753
-2.371692,5,40994.443393
-2.364823,5,41021.934509
-2.364993,5,41051.315633
-2.363914,5,41078.496969
-2.375026,5,41111.171462
-2.263647,5,41140.58062
-2.364336,5,41173.057473
-2.363014,5,41204.728229
-2.845403,6,41238.845615
-2.371692,5,41267.751054
-2.374039,5,41297.398441
-2.372232,5,41326.10184
-3.180069,7,41366.430856
-2.375026,5,41395.210395
-2.375026,5,41424.554273
-2.375026,5,41452.242072
-2.375026,5,41480.941694
-2.373546,5,41508.759552
-2.171483,5,41537.249328
-1.818643,5,41567.838758
