{'time':'2021-02-18 16:13:32,257','message': {'state':'[[  0 135 270  13 372 753]]', 'action': '18', 'next_state': '[[  0 135 270  13 409 828]]', 'reward': '-0.4725536992840096'}}
{'time':'2021-02-18 16:13:37,853','message': {'state':'[[  0 135 270  13 409 828]]', 'action': '18', 'next_state': '[[  0 135 270  13 449 910]]', 'reward': '-0.472885032537961'}}
{'time':'2021-02-18 16:13:43,028','message': {'state':'[[  0 135 270  13 449 910]]', 'action': '18', 'next_state': '[[   2  135  270   13  493 1001]]', 'reward': '-0.4650335374744824'}}
{'time':'2021-02-18 16:13:48,198','message': {'state':'[[   2  135  270   13  493 1001]]', 'action': '18', 'next_state': '[[   1  135  270   13  542 1101]]', 'reward': '-0.4694626648115021'}}
{'time':'2021-02-18 16:13:54,141','message': {'state':'[[   1  135  270   13  542 1101]]', 'action': '18', 'next_state': '[[   0  135  270   13  596 1211]]', 'reward': '-0.4739837398373984'}}
{'time':'2021-02-18 16:13:59,316','message': {'state':'[[   0  135  270   13  596 1211]]', 'action': '18', 'next_state': '[[   1  135  270   13  655 1332]]', 'reward': '-0.4704469609934898'}}
{'time':'2021-02-18 16:14:04,495','message': {'state':'[[   1  135  270   13  655 1332]]', 'action': '18', 'next_state': '[[   2  135  270   13  720 1465]]', 'reward': '-0.4670892368878946'}}
{'time':'2021-02-18 16:14:09,899','message': {'state':'[[   2  135  270   13  720 1465]]', 'action': '18', 'next_state': '[[   2  135  270   13  792 1611]]', 'reward': '-0.46817256817256814'}}
{'time':'2021-02-18 16:14:15,072','message': {'state':'[[   2  135  270   13  792 1611]]', 'action': '18', 'next_state': '[[   2  135  270   13  871 1772]]', 'reward': '-0.4687302174538578'}}
{'time':'2021-02-18 16:14:20,241','message': {'state':'[[   2  135  270   13  871 1772]]', 'action': '18', 'next_state': '[[   0  135  270   13  958 1949]]', 'reward': '-0.47679112008072655'}}
{'time':'2021-02-18 16:14:26,171','message': {'state':'[[   0  135  270   13  958 1949]]', 'action': '18', 'next_state': '[[   0  135  270   13 1053 2143]]', 'reward': '-0.47706422018348627'}}
{'time':'2021-02-18 16:14:31,351','message': {'state':'[[   0  135  270   13 1053 2143]]', 'action': '18', 'next_state': '[[   0  135  270   13 1158 2357]]', 'reward': '-0.4774812343619683'}}
{'time':'2021-02-18 16:14:36,906','message': {'state':'[[   0  135  270   13 1158 2357]]', 'action': '18', 'next_state': '[[   0  135  270   13 1273 2592]]', 'reward': '-0.47763457164518575'}}
{'time':'2021-02-18 16:14:36,907','message': {'episode': '2/1000', 'score': '35', 'e': '0.095'}}
{'time':'2021-02-18 16:14:36,907','message': {'Steps': '35', 'Episode': '2', 'Total Reward': '-14.10305221635139'}}
{'time':'2021-02-18 16:14:43,688','message': {'state':'[[  0 100 200  13 100 200]]', 'action': '18', 'next_state': '[[  0 100 200  13 110 220]]', 'reward': '-0.4409090909090909'}}
{'time':'2021-02-18 16:14:49,210','message': {'state':'[[  0 100 200  13 110 220]]', 'action': '18', 'next_state': '[[  0 100 200  13 121 242]]', 'reward': '-0.44628099173553715'}}
{'time':'2021-02-18 16:14:54,748','message': {'state':'[[  0 100 200  13 121 242]]', 'action': '18', 'next_state': '[[  0 100 200  13 133 266]]', 'reward': '-0.45112781954887216'}}
